URL,title,categories,news_created,scrapped_at
https://www.jpnn.com/news/monitor-aktivitas-fisik-dan-kesehatan-dengan-5-wearable-tech-terbaik-ini,Monitor Aktivitas Fisik dan Kesehatan dengan 5 Wearable Tech Terbaik Ini,Smart, 06 November 2024 16:24 WIB,12/15/2024 19:52:47
https://www.jpnn.com/news/teknologi-deep-learning-bisa-deteksi-penyakit-kanker-begini-cara-kerjanya,"Teknologi Deep Learning Bisa Deteksi Penyakit Kanker, Begini Cara Kerjanya",Smart, 06 November 2024 16:15 WIB,12/15/2024 19:52:47
https://www.jpnn.com/news/apple-berencana-bangun-pabrik-di-bandung-kemenperin-kami-sudah-menghubungi-tetapi,"Apple Berencana Bangun Pabrik di Bandung, Kemenperin: Kami Sudah Menghubungi, Tetapi",Komunikasi, 06 November 2024 15:39 WIB,12/15/2024 19:52:47
https://www.jpnn.com/news/apple-disebut-bisa-bangun-pabrik-di-indonesia-asalkan,"Apple Disebut Bisa Bangun Pabrik di Indonesia, Asalkan",Komunikasi, 06 November 2024 09:14 WIB,12/15/2024 19:52:47
https://www.jpnn.com/news/dukung-inovasi-lokal-et-pc-desktop-workstation-hadirkan-4-model-unggulan,"Dukung Inovasi Lokal, ET PC Desktop Workstation Hadirkan 4 Model Unggulan",Komputer, 06 November 2024 03:20 WIB,12/15/2024 19:52:47
https://www.jpnn.com/news/komdigi-latih-petugas-ppid-gunakan-aplikasi-info,Komdigi Latih Petugas PPID Gunakan Aplikasi Info,Komunikasi, 04 November 2024 19:10 WIB,12/15/2024 19:52:48
https://www.jpnn.com/news/wowrack-ajak-masyarakat-intip-masa-depan-teknologi,Wowrack Ajak Masyarakat Intip Masa Depan Teknologi,Internet, 04 November 2024 18:51 WIB,12/15/2024 19:52:48
https://www.jpnn.com/news/7-fitur-baru-di-telegram-nomor-4-menarik,"7 Fitur Baru di Telegram, Nomor 4 Menarik",Smart, 04 November 2024 08:50 WIB,12/15/2024 19:52:48
https://www.jpnn.com/news/gemini-ai-hadir-di-google-maps,Gemini AI Hadir di Google Maps,Smart, 02 November 2024 18:58 WIB,12/15/2024 19:52:48
https://www.jpnn.com/news/mengenal-mesin-pencari-terbaru-chatgpt-search-besutan-openai,Mengenal Mesin Pencari Terbaru ChatGPT Search Besutan OpenAI,Smart, 02 November 2024 17:37 WIB,12/15/2024 19:52:48
https://www.jpnn.com/news/whatsapp-merilis-fitur-list-berbeda-dari-filter-chat,"WhatsApp Merilis Fitur List, Berbeda dari Filter Chat",Smart, 01 November 2024 18:06 WIB,12/15/2024 19:52:49
